tracker	detector	nn	learner	sum
7	8	0	1	16
8	8	0	1	17
8	8	0	1	17
8	7	0	1	16
7	6	1	1	15
7	7	0	1	15
7	7	1	1	16
7	8	0	1	16
7	7	1	0	15
14	9	0	1	24
7	6	1	0	14
6	7	0	1	14
8	6	1	0	15
17	13	1	1	32
7	8	0	1	16
7	8	0	1	16
7	7	1	1	16
6	8	0	1	15
8	7	1	1	17
8	8	0	1	17
10	7	0	1	18
7	6	0	1	14
7	6	1	0	14
7	7	0	1	15
7	6	1	0	14
7	6	1	1	15
8	6	1	1	16
7	6	1	0	14
7	6	0	1	14
7	7	0	1	15
8	5	1	1	15
7	6	0	1	14
7	7	0	1	15
7	7	0	1	15
8	6	1	0	15
11	11	0	2	24
18	12	0	1	31
8	6	0	1	15
6	7	0	1	14
11	8	0	1	20
11	7	0	1	19
7	6	1	1	15
6	7	0	1	14
7	5	0	1	13
22	11	0	2	35
8	5	0	1	14
7	5	0	1	13
7	5	1	0	13
7	5	1	1	14
7	6	0	1	14
7	5	1	0	13
7	6	0	1	14
8	6	1	1	16
15	8	0	1	24
11	6	0	1	18
7	6	0	1	14
8	5	0	1	14
7	7	0	1	15
8	7	0	1	16
8	5	0	1	14
7	6	0	1	14
18	8	0	2	28
7	5	0	1	13
7	5	1	0	13
7	5	0	1	13
12	6	1	0	19
7	6	0	1	14
11	6	1	1	19
7	6	0	1	14
7	6	0	1	14
8	7	0	1	16
8	8	0	1	17
7	6	1	1	15
7	5	0	1	13
7	5	0	1	13
8	6	1	1	16
8	5	0	1	14
8	6	1	1	16
8	7	0	1	16
8	6	0	1	15
8	5	0	1	14
7	4	0	1	12
7	5	0	1	13
8	5	1	0	14
7	5	0	1	13
8	5	0	1	14
7	6	0	1	14
7	5	0	1	13
8	5	0	1	14
7	4	1	0	12
18	10	0	1	29
18	9	0	2	29
8	4	1	0	13
7	4	1	1	13
7	5	0	1	13
7	5	0	1	13
8	6	1	1	16
8	6	0	1	15
8	6	0	1	15
8	5	0	1	14
7	5	0	1	13
7	5	0	1	13
7	5	0	1	13
7	6	0	1	14
7	5	0	1	13
7	5	0	1	13
7	5	0	1	13
7	5	0	1	13
7	4	0	1	12
7	5	0	1	13
8	4	0	1	13
7	5	0	1	13
8	4	0	1	13
7	5	0	1	13
10	5	0	1	16
7	4	0	1	12
7	4	1	1	13
18	9	0	1	28
7	5	0	1	13
8	4	1	1	14
8	4	0	1	13
7	5	0	1	13
7	5	1	1	14
8	5	0	1	14
8	5	0	1	14
7	5	0	1	13
7	5	0	1	13
7	5	0	1	13
7	5	1	1	14
8	5	1	1	15
7	5	0	1	13
14	5	1	1	21
11	5	0	1	17
7	4	1	1	13
7	5	0	1	13
7	5	0	1	13
7	5	0	1	13
8	4	0	1	13
17	6	0	2	25
7	5	0	1	13
7	5	1	1	14
8	5	0	1	14
7	5	1	0	13
7	4	0	1	12
7	5	0	1	13
7	5	1	1	14
7	4	1	1	13
7	3	1	1	12
7	4	0	1	12
7	4	0	1	12
8	4	0	1	13
15	5	1	1	22
7	4	0	1	12
7	4	1	0	12
7	5	0	1	13
8	5	0	1	14
7	4	0	1	12
7	4	0	1	12
9	3	0	1	13
23	7	0	2	32
8	4	0	1	13
7	5	0	1	13
8	4	0	1	13
7	4	0	1	12
7	4	1	1	13
7	4	0	1	12
8	4	1	0	13
8	4	0	1	13
7	4	0	1	12
7	4	0	1	12
7	4	1	1	13
8	4	0	1	13
25	9	0	2	36
8	4	0	1	13
7	3	1	1	12
12	5	0	1	18
7	4	1	0	12
7	4	1	0	12
7	5	0	1	13
7	6	0	1	14
8	5	0	1	14
8	4	0	1	13
7	4	1	1	13
19	6	0	1	26
7	3	0	1	11
7	4	0	1	12
8	4	0	1	13
7	5	0	1	13
7	5	0	1	13
7	5	0	1	13
8	4	1	1	14
8	5	0	1	14
8	3	1	1	13
7	4	0	1	12
7	4	1	1	13
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
8	3	0	1	12
7	3	1	1	12
7	4	0	1	12
7	4	0	1	12
7	5	0	1	13
8	3	0	1	12
8	4	0	1	13
7	3	0	1	11
7	4	0	1	12
7	4	0	1	12
9	3	0	1	13
11	5	0	1	17
7	5	0	1	13
8	3	1	1	13
8	4	0	1	13
8	4	0	1	13
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
12	4	0	2	18
6	3	0	1	10
7	4	0	1	12
7	4	0	1	12
8	3	0	1	12
